text_after_cleaning,text,tweet_id
mara swa ku khumuzeriwa a swi boha mara,@hleko_foster 🤣🤣🤣 Mara swa ku khumuzeriwa a swi boha mara 🤣,1460891032762130433
yi blind die deng hina mara se hi dzike le ndzeni ka tona straight thefakevongan blindnurhanda travk liya ya prisnor,"Yi blind die Deng... Hina Mara se hi dzike le ndzeni Ka tona straight ""@Swankoka: TheFakeVongan blind,nurhanda travk liya ya prisnor""",446541130520608768
unga hleki ka musa,@musa_m01 Unga hleki ka musa😹,1286415188858732544
vhele niya va heavy flow vutomi bya mina hinkwabyo,Vhele niya va heavy flow vutomi bya mina hinkwabyo ? https://t.co/TkJiJXvGhu,1150818500300197890
loko hi kuma nkarhi ahi tsakeni,Loko hi kuma nkarhi ahi tsakeni🤌🏿 https://t.co/qQyKuEHwU7,1505924311957356549
bye bye geee mpahla ya black ku hisa ka yona nta pona mina maar,"Bye Bye :'( :-( :'(""@LesegoNoko: Geee! @DkhenC mpahla ya black ku hisa ka yona! Nta pona mina maar""",513426480748326913
ku saseka onge mi hlamba hi ntswamba awesomeness,@DephneyX @TsakkyM Ku saseka onge mi hlamba hi ntswamba. Awesomeness,1247093459086970881
vanhu va ka hina va lo tsakela ku we finally have a show in xitsonga on tv a va vutisi totala,Vanhu va ka hina va lo tsakela ku we finally have a show in Xitsonga on TV. A va vutisi totala.,1112600092824006656
xi ni nyikile milenge ya kucina,Xi ni nyikile milenge ya kucina,1298924038463643649
eh lexa xoti yo basa xi nga ku pfuxa malakanini bafi lol uhlamala loko u pfuka u kuma ukha u dya hi diripi lol,Eh lexa xoti yo basa xi nga ku pfuxa malakanini bafi lol uhlamala loko u pfuka u kuma ukha u dya hi diripi lol https://t.co/rSTem5gSQp,850395897443864577
mintirho ya vulavula haku khensisa,Mintirho ya vulavula @ShoMadjozi #SAMA25 haku khensisa,1134914410529599490
ndi hune ndavha hone ngauri ndokoniswa nga munewashu hakhakhi murena hone odala lufuno na mafunda asa fheli,"Ndi Hune ndavha hone ngauri ndokoniswa nga munewashu ,,,Hakhakhi murena hone odala lufuno na mafunda asa fheli #PraiseGod",234176063394156545
ah va jamuka lava kahle ni va unfollow,@MimiSuna Ah va jamuka lava. Kahle ni va unfollow,1319884085851000832
lol yerrr lembe nyama yale ka macombe udya hi xitampa,Lol yerrr lembe? nyama yale ka Macombe udya hi xitampa? https://t.co/FGCgu1DqT7,967367297353633792
lol galaxy ndikalesa ndinayo weee anicha humbula dat tym ndicori ikho bora nga u fhedza dzi data,@Nndili_R lol Galaxy ndikalesa ndinayo weee anicha humbula dat tym ndicori ikho bora nga u fhedza dzi data?,395082879157673984
u tlela rin ka,@Rumbii_ee u tlela rin ka,349045460125761537
na yi lava outfit ya so heyii,Na yi lava outfit ya so heyii https://t.co/OGuCWhYfDO,1155745221902249984
hahahahaha years ni twa ni tsakela ku yi kaneta nwana tati haaa maybe or kaa hi nga rhobani ka tati mavongis,"@BongiWil Hahahahaha, 40 years ni twa ni tsakela ku yi kaneta nwana tati, haaa, maybe 32 or 31 kaa hi nga rhobani ka tati Mavongis",1286963876337274881
