tweet_id,content,annotator,confidence,clean_tweets,originaltext,AgreedSentiment,classname
1.1727981888997663e+18,,nwankwonneoma9@gmail.com,1.0,ọkụ anya 😁 mana ihe a bụ mkpụrụ osisia maghị m aha osisi ahụ,@OsitaAmakeze Ọkụ anya 😁 Mana ihe a bụ mkpụrụ osisi...a maghị m aha osisi ahụ,NEUTRAL,Monolingual
1.1362425539327016e+18,,nwankwonneoma9@gmail.com,0.883625567,ndi bem deje 😂,Ndi bem Deje 😂,NEUTRAL,Monolingual
1.1261354497922048e+18,,nwankwonneoma9@gmail.com,1.0,onye bu pastor🙄😪😪,@Ikhuoria_ Onye bu Pastor🙄😪😪,NEUTRAL,Monolingual
1.3957473038483046e+18,,nwankwonneoma9@gmail.com,1.0,ma asi na ọ pughi inaputa ayi ka i mara eze na chigi nile ka ayi nāgaghiadi nēfè ọ bu kwa onyinyo ọlaedo ahu nke i guzobeworo ọtọ ka ayi nāgaghiakpọ isi ala nye daniel 318 igbo bible igbo bible nso igbob,"Ma asi na Ọ pughi inaputa ayi, ka i mara, eze, na chi-gi nile ka ayi nāgaghi-adi nēfè, ọ bu kwa onyinyo ọla-edo ahu nke i guzobeworo ọtọ ka ayi nāgaghi-akpọ isi ala nye. DANIEL 3:18 (Igbo Bible) --Igbo Bible Nso, IGBOB-- https://t.co/aatTdABSbJ",NEUTRAL,Monolingual
1.268913213086802e+18,,successnwokwu@gmail.com,1.0,inukwa echekwolum na muna gi di n nma,@Kene_Nnewi Inukwa.... Echekwolum na muna gi di n’ nma,NEUTRAL,Monolingual
1.29979005854797e+18,,successnwokwu@gmail.com,1.0,obodo adighị eko bụrụ ụgbọgụrụ,"Obodo adighị eko, bụrụ ụgbọgụrụ. #truism https://t.co/1uQPRHdfAe",NEUTRAL,Monolingual
1.332352994172674e+18,,nwankwonneoma9@gmail.com,0.5926492214,juo nna gi,@cruise_kay Juo nna gi,NEUTRAL,Monolingual
7.477301949711114e+17,,successnwokwu@gmail.com,1.0,oke obula nwuru nime akpa aki abughi aguru gburu ya,@Umu_Igbo Oke obula nwuru n'ime akpa aki abughi aguru gburu ya. #iluIgbo @IgboProgress #asusuIgbo,NEUTRAL,Monolingual
1.2650297170334433e+18,,nwankwonneoma9@gmail.com,1.0,ihe nile welu oge ya onye obu na wele oge ya bie ndu gi chelu oge nke gi,"Ihe nile welu oge ya, onye obu na wele oge ya, bie ndu gi chelu oge nke gi https://t.co/ZyUDI78ei8",NEUTRAL,Monolingual
1.1764518078890394e+18,,nwankwonneoma9@gmail.com,1.0,ọ nà enu kita ka ana ede be free 100k adịghị e use 😂😂 nne ọ ọ sikwa lu ịke,"@ebukakanary1 @nonsookongwu @AfamDeluxo @BlackIgboLord @AdannaPapa @fragrance_scent @RosemaryOcheze Ọ nà enu kita ka ana ede be free 100k adịghị e use 😂😂, nne ọ ọ sikwa lu ịke",NEUTRAL,Monolingual
8.02e+17,,nwankwonneoma9@gmail.com,1.0,odiegwuanyi aga agbafuziri ndi omekome nulo,Odiegwu...anyi aga agbafuziri ndi omekome n'ulo? https://t.co/EgbK7IXygk,NEUTRAL,Monolingual
1.1301927151808388e+18,,successnwokwu@gmail.com,1.0,oge adie chere nmadu oge adiro chacha🤣,@LyffBoxx Oge adie chere nmadu..... oge adiro chacha🤣,NEUTRAL,Monolingual
8.718271593372713e+17,,nwankwonneoma9@gmail.com,1.0,ndi otu egwuregwu asompi bolu lagos state,Ndi otu egwuregwu asompi bolu #risingstar #ballers @ Lagos State https://t.co/U3I4Pg9BIN,NEUTRAL,Monolingual
