text_after_cleaning,text,tweet_id,clean_tweets
isavanna nje isenza otherwise kodwa asiyiyeki,@samkeloh_sam ISavanna nje isenza otherwise kodwa asiyiyeki 🙄🥴,tweet_1314553142458056705,isavanna nje isenza otherwise kodwa asiyiyeki 🙄🥴
ngithanda umoya wakhe kphela ️,Ngithanda umoya wakhe k’phela ☹️ https://t.co/vod1myTNqy,tweet_1263032103026987011,ngithanda umoya wakhe kphela ☹️
khona oku shaya amanzi ngama liquor shops,@SpheleleSpeaks 😂 khona oku shaya amanzi ngama Liquor shops,tweet_1260956954056445953,😂 khona oku shaya amanzi ngama liquor shops
andizi nje ezinganeni khohlwa,@_learny @JoyBlackZA Andizi nje ezinganeni khohlwa🤦 https://t.co/FmhrHRSGbr,tweet_1451283555129176071,andizi nje ezinganeni khohlwa🤦
barcelona ayiyeke ukudlala ibhola mayingasafuni yini leibiza ebadlayo nje kumanje,Barcelona ayiyeke ukudlala ibhola mayingasafuni.... yini le-Ibiza ebadlayo nje kumanje? 😤,tweet_1220063621625061377,barcelona ayiyeke ukudlala ibhola mayingasafuni yini leibiza ebadlayo nje kumanje 😤
icorona ngabe iyasho ukuthi ifuna abantu abangaki sibanike omabezingane,Icorona ngabe iyasho ukuthi ifuna abantu abangaki sibanike omabezingane 😤,tweet_1285979260893765635,icorona ngabe iyasho ukuthi ifuna abantu abangaki sibanike omabezingane 😤
ngize ngavuka ngagqoka ama pyjamas ukuze makwenzeka noma yini bangifice ngingekho nqunu,@NkocyProf Ngize ngavuka ngagqoka ama pyjamas ukuze makwenzeka noma yini bangifice ngingekho nqunu 😭😭😭😭,tweet_1328221035892776961,ngize ngavuka ngagqoka ama pyjamas ukuze makwenzeka noma yini bangifice ngingekho nqunu 😭😭😭😭
ubani manje lo ohlephulise iphara,Ubani manje lo ohlephulise iPhara 😭😭🤣?,tweet_1494386754945699845,ubani manje lo ohlephulise iphara 😭😭🤣
awsangikhumbuli embusweni wakho cebo lapho ko jacobs kumnandi ngisho inhloko yakhona,@KhozaCebo Awsangikhumbuli embusweni wakho Cebo🥺 lapho ko Jacobs kumnandi ngisho inhloko yakhona😭,tweet_1225820761916616704,awsangikhumbuli embusweni wakho cebo🥺 lapho ko jacobs kumnandi ngisho inhloko yakhona😭
wavele wabuza umsuzo nje umdala,Wavele wabuza umsuzo nje umdala 😠 https://t.co/bNqFnDXVco,tweet_1334426803146993664,wavele wabuza umsuzo nje umdala 😠
ibambene ngezihluthu ngomchamo nje,"Ibambene ngezihluthu, ngomchamo nje. 😂 https://t.co/MF3kqTWCEj",tweet_1530194306761379844,ibambene ngezihluthu ngomchamo nje 😂
ngathi ukhathele nje wesibalkhulu,Ngathi ukhathele nje weSibalkhulu🤔🤣 https://t.co/tebR6gV95s,tweet_1497643945333035011,ngathi ukhathele nje wesibalkhulu🤔🤣
ngathi awusazi isijolo wena ndizova ngawe mhla sakujikela ungena irobots zibomvu kusiza itruck,"@Noma_Afrika_ Ngathi awusazi isijolo wena, ndizova ngawe mhla sakujikela ungena iRobots zibomvu kusiza iTruck 🤣😅😂😂",tweet_1255033599348400129,ngathi awusazi isijolo wena ndizova ngawe mhla sakujikela ungena irobots zibomvu kusiza itruck 🤣😅😂😂
usbu wayethanda yena nami ngthanda yena manje wayengekho othanda mina or however she said it,"""USbu wayethanda yena. Nami ngthanda yena. Manje wayengekho othanda mina"" (Or however she said it) 🙌🏽 #KwaMaMkhize",tweet_1215337743586398214,usbu wayethanda yena nami ngthanda yena manje wayengekho othanda mina or however she said it 🙌🏽
hambisani ama cv eboxer egateway niyeke ukufuna abafana ama data plz,Hambisani ama C.V eboxer egateway… niyeke ukufuna abafana ama data plz🚮,tweet_1459496541517975558,hambisani ama cv eboxer egateway niyeke ukufuna abafana ama data plz🚮
sanibona sekuphele inyanga yonke ka labour kungasentshenzwa kuthiwa imishini yabo ifile and nemali iphelele manje kulokhu kuthiwa monday monday anisibhekele ukuthi kwenzakalani,@LabourMinistry @LabourDept @eThekwiniM Sanibona sekuphele inyanga yonke ka Labour kungasentshenzwa kuthiwa imishini yabo ifile and nemali iphelele manje kulokhu kuthiwa Monday Monday😒🤧😏 anisibhekele ukuthi kwenzakalani @IsolezweNews @SiphamandlaGoge @IlangaNewspaper,tweet_1436192852149743616,sanibona sekuphele inyanga yonke ka labour kungasentshenzwa kuthiwa imishini yabo ifile and nemali iphelele manje kulokhu kuthiwa monday monday😒🤧😏 anisibhekele ukuthi kwenzakalani
nawa ahleli ebheke le amanye asaye toilet,@AFRICKAH @MbaliK90 Nawa ahleli ebheke le😂 amanye asaye toilet 😂 https://t.co/BMRdGUBkY3,tweet_1459615480763801609,nawa ahleli ebheke le😂 amanye asaye toilet 😂
nalapho alikho icala uzokhula phela ube uma antiza obamba ezincane,"@_LeratoMabuza Nalapho alikho icala, uzokhula phela ube uma antiza obamba ezincane 🤣🤣🤣 https://t.co/gcwmKBADTk",tweet_1533695125657903104,nalapho alikho icala uzokhula phela ube uma antiza obamba ezincane 🤣🤣🤣
tl inamaphiko yini kwenzenjani few days nje without idata umuntu ubuya seniyadiza,"TL inamaphiko, yini kwenzenjani? Few days nje without idata, umuntu ubuya seniyadiza😳",tweet_1275519302469332993,tl inamaphiko yini kwenzenjani few days nje without idata umuntu ubuya seniyadiza😳
le wena umpitori niyafana,@KingMax0814 Le wena uM'Pitori niyafana😂😂 https://t.co/dL1qLYQ6cz,tweet_1538837991707271169,le wena umpitori niyafana😂😂
i will take nudes bese ngiyawatsengisa kantsi ke ngitojola ke mine shame,@dlamininolwazi1 I will take nudes 😏bese ngiyawatsengisa🤣🤣🤣🤣🤣 kantsi ke ngitojola ke mine shame🤣🤣🤣🤣,tweet_1531725768467816450,i will take nudes 😏bese ngiyawatsengisa🤣🤣🤣🤣🤣 kantsi ke ngitojola ke mine shame🤣🤣🤣🤣
let me remind you ukuthi akukho muntu wamuntu la ungabulawa amakhaza ngenxa yokuba considerate of other peoples relationships ‍️‍️‍️,Let me remind you ukuthi akukho muntu wamuntu la. Ungabulawa amakhaza ngenxa yokuba considerate of other people's relationships 🚶🏽‍♂️🚶🏽‍♂️🚶🏽‍♂️.,tweet_1271461309180186625,let me remind you ukuthi akukho muntu wamuntu la ungabulawa amakhaza ngenxa yokuba considerate of other peoples relationships 🚶🏽‍♂️🚶🏽‍♂️🚶🏽‍♂️
mageba you are readily available mnganamiyazi for some reason bengikulindele ukuthi uzophawula lana,"@SandileRoc @Tsepiso_MK Mageba, you are readily available mnganami😂😂😂yazi for some reason bengikulindele ukuthi uzophawula lana😂😂😂",tweet_1238742220653637632,mageba you are readily available mnganami😂😂😂yazi for some reason bengikulindele ukuthi uzophawula lana😂😂😂
wabanika kanye bazophinde beyfune baze bamlimaza ke,"@ZuzileMkhize Wabanika kanye, bazophinde bey’fune. Baze bam’limaza ke 💔",tweet_1289486297883480064,wabanika kanye bazophinde beyfune baze bamlimaza ke 💔
angazi ukuthi nikhuluma ngani but mina angazi and angibonanga lutho,@skhuw @BWorded_ angazi ukuthi nikhuluma ngani BUT mina angazi &amp; angibonanga lutho!🥺,tweet_1392212557314805760,angazi ukuthi nikhuluma ngani but mina angazi and angibonanga lutho🥺
yasaba magebamina ikhaya lami lesbili sengona ngendlela engafanelwe uxolo,@ZuluBoyFriend @METROFMSA @SentleL 🤣🤣🤣yasaba Mageba.Mina ikhaya lami lesbili sengona ngendlela engafanelwe uxolo,tweet_1322910320604663810,🤣🤣🤣yasaba magebamina ikhaya lami lesbili sengona ngendlela engafanelwe uxolo
i paid for my tv licence kodwa angiyazi nokuthi injani umbala,"I paid for my TV licence, kodwa angiyazi nokuthi injani umbala😠",tweet_1239206783182409730,i paid for my tv licence kodwa angiyazi nokuthi injani umbala😠
siyabonga umkhuleko baba sanibonani ekuseni sisi phindip you are our soul healer with your motivation ungakhuluma yebo uthi uyazikhulumela kanti kunemiphefumulo ethintekayo isigcinele wena nje inkosi,"@ukhozi_fm #UliboLokuqala @Phindi_P_ siyabonga umkhuleko baba, Sanibonani ekuseni sisi PhindiP you are our soul healer with your motivation, ungakhuluma yebo uthi uyazikhulumela kanti kunemiphefumulo ethintekayo, isigcinele wena nje inkosi🙏 #AsibuyeliEmuva",tweet_1438674475965423618,siyabonga umkhuleko baba sanibonani ekuseni sisi phindip you are our soul healer with your motivation ungakhuluma yebo uthi uyazikhulumela kanti kunemiphefumulo ethintekayo isigcinele wena nje inkosi🙏
iyahlupha le genge ye durban july,@SibanengMabhena 🤣 iyahlupha le genge ye Durban July.,tweet_1260649825785114624,🤣 iyahlupha le genge ye durban july
nenza nje nhlaka masenifuna imali nikotela amagate hhay madoda ngiyanisaba,"🤣🤣🤣🤣, nenza nje Nhlaka masenifuna imali, nikotela amaGate 🤣🤣🤣🤣. Hhay madoda ngiyanisaba https://t.co/mu1mh5m9Vv",tweet_1214871582277021696,🤣🤣🤣🤣 nenza nje nhlaka masenifuna imali nikotela amagate 🤣🤣🤣🤣 hhay madoda ngiyanisaba
lol angeke ngilahlelwe lento mina i khanti,"@Yollymthithala Lol Angeke ngilahlelwe lento Mina, I khanti😂😂😂🤡🤡",tweet_1223704220819492866,lol angeke ngilahlelwe lento mina i khanti😂😂😂🤡🤡
natoghetto charmer yashela intombiukraine ye gintsarussia manje igintsa lifuna isfebe salo sibuye njengoba sabaleka nemali yaso sthembisa kudubula kwasan ezongena indaba zabo,"@alexdyani @Kanono_Thabane @dineo_mpala NATO(ghetto charmer) yashela intombi(ukraine) ye gintsa(Russia). Manje igintsa lifuna isfebe salo sibuye njengoba sabaleka nemali yaso, sthembisa kudubula kwasan ezongena indaba zabo 🤧",tweet_1497228783732072448,natoghetto charmer yashela intombiukraine ye gintsarussia manje igintsa lifuna isfebe salo sibuye njengoba sabaleka nemali yaso sthembisa kudubula kwasan ezongena indaba zabo 🤧
makudlala ingoma nje nanivele nishaywe amafits nimile,@real_housAholic Makudlala ingoma nje nanivele nishaywe amaFits nimile😭,tweet_1521140008614338560,makudlala ingoma nje nanivele nishaywe amafits nimile😭
imagine sengiya kwi dc ngenxa yokuphapha ku twitter ngiyothini nje kundodana engathatha serious kanje,@shufflesdu Imagine sengiya kwi DC ngenxa yokuphapha ku Twitter ngiyothini nje kundodana engathatha serious kanje 😭,tweet_1528769009927217154,imagine sengiya kwi dc ngenxa yokuphapha ku twitter ngiyothini nje kundodana engathatha serious kanje 😭
malume ngokukhulu ukuzithoba besicela kuba yi part yale event siyacela as amachillaz kwaitogqom duo from south coastumzinto kzn noma singeke siperform nomq singaba kwi general just kuba nje ngaphakath please please retweet until malume sees the tweet,"@DJTira Malume ngokukhulu ukuzithoba ,Besicela kuba yi Part yale Event ,siyacela as AmaChillaz (kwaito/gqom duo from South Coast,UMzinto KZN) ..noma singeke siPerform nomq singaba kwi General, just kuba nje ngaphakath please🙏 PLEASE RETWEET UNTIL MALUME SEES THE TWEET🙏🙏🙏 https://t.co/X35SeAIJmq",tweet_1496102831379599370,malume ngokukhulu ukuzithoba besicela kuba yi part yale event siyacela as amachillaz kwaitogqom duo from south coastumzinto kzn noma singeke siperform nomq singaba kwi general just kuba nje ngaphakath please🙏 please retweet until malume sees the tweet🙏🙏🙏
ukuthi ngyacabanga nje eyi olova banamasimba,@Mcm2004 Ukuthi ngyacabanga nje Eyi 😂🤣 olova banamasimba 🤣,tweet_1522882211023884288,ukuthi ngyacabanga nje eyi 😂🤣 olova banamasimba 🤣
okudlula lokhu isoft porn subscribe,@nosiey_ Okudlula lokhu iSoft Porn. Subscribe 🙂,tweet_1499254873807859719,okudlula lokhu isoft porn subscribe 🙂
fam njengamanje ulalele bakhona emsakazweni wakho njalo nje,Fam!!!! Njengamanje Ulalele #Isidlosasekuseni @Tshatha_Ngobe @NVMcKenzie bakhona emsakazweni wakho @ukhozi_fm 06:30-09:00 #LuhambaPhambili njalo nje🙏 https://t.co/drGvrVBVEp,tweet_1296681575212621824,fam njengamanje ulalele bakhona emsakazweni wakho 06300900 njalo nje🙏
ayikho into elungayo uma usashaya o pts,@_BhekumuziG 🤣🤣 ayikho into elungayo uma usashaya o30 pts,tweet_1322242501777018882,🤣🤣 ayikho into elungayo uma usashaya o30 pts
nami ngithi nje copy and paste umthandazo umamkhize awuthandazayo,Nami ngithi nje copy and paste umthandazo umamkhize awuthandazayo 😂🤣🤣🤣🤣🤣 #KwaMamMkhize https://t.co/aZ4WFlYO04 https://t.co/yFpM7xSGZL,tweet_1216957138897113114,nami ngithi nje copy and paste umthandazo umamkhize awuthandazayo 😂🤣🤣🤣🤣🤣
our king misuzulu kazwelithiningicela sihloniphe isilo sethu nikhumbule isilo sethu sifunde futhi kade sihlala phesheya,"@SiphamandlaGoge Our King Misuzulu KaZwelithini,ngicela sihloniphe ISilo sethu, nikhumbule iSilo sethu sifunde futhi kade sihlala phesheya 💝💝🙏🏽",tweet_1415330851345375234,our king misuzulu kazwelithiningicela sihloniphe isilo sethu nikhumbule isilo sethu sifunde futhi kade sihlala phesheya 💝💝🙏🏽
endaweni yabantu abangaziphathi kahle,Endaweni yabantu abangaziphathi kahle. 😂😂😂 #Ingomabusuku,tweet_1502747874421055493,endaweni yabantu abangaziphathi kahle 😂😂😂
ngoba vele kuyafana noma ngingathestwa ill still fail the test sadly,@_Mbalivalentine ngoba vele kuyafana noma ngingathestwa I'll still fail the test sadly 😥,tweet_1509086226418221058,ngoba vele kuyafana noma ngingathestwa ill still fail the test sadly 😥
lol mina ngibuye nginqene into ukuyifunda futhi before i send ngiyenza kuma emails kphela leyonto,Lol mina ngibuye nginqene into ukuyifunda futhi before I send. Ngiyenza kuma emails k’phela leyonto 😂😂 https://t.co/aDcFsfl3YF,tweet_1283466489241251847,lol mina ngibuye nginqene into ukuyifunda futhi before i send ngiyenza kuma emails kphela leyonto 😂😂
kthiwa ngathi ugodola kakhulu mawapassa umatric ngob,Kthiwa ngathi ugodola kakhulu mawapassa uMatric ngoB😅,tweet_1400460286721548293,kthiwa ngathi ugodola kakhulu mawapassa umatric ngob😅
nakhokhe unkunzi esemosha izinto usecabanga ukuthi uzothatha ama business kamangcobo‍️‍️‍️,"Nakhokhe uNkunzi esemosha izinto, usecabanga ukuthi uzothatha ama business kaMaNgcobo?🙆‍♀️🙆‍♂️🙆‍♀️ #Uzalo",tweet_1215707565713215488,nakhokhe unkunzi esemosha izinto usecabanga ukuthi uzothatha ama business kamangcobo🙆‍♀️🙆‍♂️🙆‍♀️
imina phela lo obhalwe la,@Nanarie21 Imina phela lo obhalwe la😌,tweet_1513580001546883074,imina phela lo obhalwe la😌
akaze enze order lowobezthulele nje ebhentshini,@MulamulaT @Vusi_CAttorney @fumanekile_17 @Dee_SK Akaze enze order lowo😂bezthulele nje ebhentshini,tweet_1245335176533729281,akaze enze order lowo😂bezthulele nje ebhentshini
ey ntshingwayo mfwethu siyahleka nje phela ngoba kuhlekwa nasemakhandleleni,"@Nkulu_KZ Ey Ntshingwayo mfwethu, siyahleka nje phela ngoba kuhlekwa nasemakhandleleni. 😂😂",tweet_1434984657121157122,ey ntshingwayo mfwethu siyahleka nje phela ngoba kuhlekwa nasemakhandleleni 😂😂
