tweet_id,content,annotator,confidence,clean_tweets,originaltext,AgreedSentiment,classname
1.0706461233108008e+18,,nwankwonneoma9@gmail.com,0.8924688101,hero way ✌cha cha cha igbo kwenu 🕺boy comin truu umu ☝️ lagos state,Hero way ✌cha! cha! cha!! igbo kwenu!!! #Show🕺boy comin truu @herolager umu #africa #Osinachi ☝️ @ Lagos State https://t.co/FwNJXMoMss,NEUTRAL,Code-mix
1.2902196678862277e+18,,nwankwonneoma9@gmail.com,1.0,ngwá tụọ down,@ikifediata Ngwá tụọ down,NEUTRAL,Code-mix
1.2818421197921116e+18,,nwankwonneoma9@gmail.com,1.0,lol stop sounding like onye kuzi,Lol. Stop sounding like Onye Kuzi. https://t.co/4Zqpnq6Xiz,NEUTRAL,Code-mix
1.12584530508007e+18,,nwankwonneoma9@gmail.com,1.0,😂😂😂 you na my g na onwero ife na eme,"@AfamDeluxo 😂😂😂 You na my G na, onwero ife na eme",NEUTRAL,Code-mix
1.2562865963343217e+18,,nwankwonneoma9@gmail.com,0.6714791656,baby girl just sampa e makwa na odi gi na aka but o to kate o to kate o lagos nigeria,"Baby girl just sampa! E makwa na odi gi na aka, but #WhatHappenedToKate o, to Kate o, to Kate o?!!! @ Lagos, Nigeria https://t.co/KrZ3YVVXG0",NEUTRAL,Code-mix
1.2436101679645655e+18,,nwankwonneoma9@gmail.com,1.0,banye chapletm na mmiri,Banye chaplet’m na mmiri. https://t.co/zqvmV2obJb,NEUTRAL,Code-mix
1.1720998491955446e+18,,nwankwonneoma9@gmail.com,0.8126186728,😂 😂 😂 anorozim dia mana anyi bu umu landlord na banye sometimes,@ChidiZeus 😂 😂 😂 Anorozim dia mana anyi bu umu landlord na banye sometimes,NEUTRAL,Code-mix
1.1910701390279844e+18,,successnwokwu@gmail.com,1.0,savage onye mere enyi ihea,Savage! Onye mere enyi ihea? https://t.co/AJ0R7uMRQq,NEUTRAL,Code-mix
1.2326694867523338e+18,,nwankwonneoma9@gmail.com,1.0,nkwo master iji oku bata street 🔥🔥 imana oda afi gi aru jonzing ejukwa gi aru link on his bio 🙌🏿🙌🏿🙌🏿,Nkwo master iji oku Bata street #Aru🔥🔥! imana Oda afi gi Aru jonzing ejukwa gi Aru! Link on his bio @deejayjmasta🙌🏿🙌🏿🙌🏿 https://t.co/jXrYTE8lP7,NEUTRAL,Code-mix
9.163430653712015e+17,,nwankwonneoma9@gmail.com,1.0,loool the baby mu anya ka halogen ujo ada atu m o maka ndi di private o ya agbalu one corner na ana be nna ya 😂😂😂,@Howardie_5 @Ed_Santino @Nwanlecha1 @cremechic11 Loool. The baby mu anya ka halogen. Ujo ada atu m. O maka ndi di private? O ya agbalu one corner na ana be Nna ya. 😂😂😂,NEUTRAL,Code-mix
1.2602791145079972e+18,,successnwokwu@gmail.com,1.0,ọ bụ godi ụzọ kotoko all man we kozie 042,@IamDoblan @AfamDeluxo @UcheOkoyep @jasmine_naza Ọ bụ godi ụzọ kotoko all man we kozie 042,NEUTRAL,Code-mix
