tweet_id,content,annotator,confidence,clean_tweets,originaltext,AgreedSentiment,classname
1.394752473018028e+18,,maryamsabubakar53@gmail.com,0.4600825012,kurkura da engine daf 🤐,"@bbchausa Kurkura da Engine DAF, 🤐",NEUTRAL,Code-mix
1.2233756781895885e+18,,maryamsabubakar53@gmail.com,1.0,su anty rahama kenan 😅,@Rahma_sadau su anty rahama kenan 😅,NEUTRAL,Code-mix
1.3040932732675482e+18,,maryamsabubakar53@gmail.com,1.0,hoo dan banza 😂😂 nide xanbada 1k inde xaka sake remix din waqoqinka daga yabon izuwa sukarsa 😒 idan ka yarda send your account details 👐🚶🚶,@bbchausa @MBuhari Hoo dan banza 😂😂 Nide xanbada 1k inde xaka sake remix din waqoqinka daga yabon @MBuhari izuwa sukarsa 😒 idan ka yarda send your account details 👐🚶🚶,NEUTRAL,Code-mix
1.3076735646703002e+18,,maryamsabubakar53@gmail.com,1.0,nafi shekara 15 ina shan miyar kuka dana daina kuma yanzu kusan 7 years kenan amma banga wani chanji ba🙄🙄,"@bbchausa Nafi shekara 15 ina shan miyar kuka, dana daina kuma yanzu kusan 7 years kenan amma banga wani chanji ba🙄🙄",NEUTRAL,Code-mix
1.3076751790579098e+18,,maryamsabubakar53@gmail.com,1.0,suntura mana gwamna ae ga irinta nan munfadi a kanon ma ae kwatar masa akayi edo no be kano wike tambuwal and kwankwaso de dey dere 😂😂😂😂,@bbchausa Suntura Mana gwamna ae ga irinta nan munfadi. A kanon ma ae kwatar masa akayi edo no be kano wike tambuwal and Kwankwaso de dey dere 😂😂😂😂,NEUTRAL,Code-mix
1.373541767241478e+18,,maryamsabubakar53@gmail.com,1.0,a kids yaushe kuwa 🤔🤔,@RFI_Ha A kids yaushe kuwa 🤔🤔,NEUTRAL,Code-mix
1.3899397447428137e+18,,maryamsabubakar53@gmail.com,0.9725977182,dama ba yan secondary school kadai ba😅,@alinuhu Dama ba 'yan secondary school kadai ba...😅,NEUTRAL,Code-mix
1.2808015170423685e+18,,maryamsabubakar53@gmail.com,1.0,amma kowa zai iya karba dollar 💵,@bbchausa Amma kowa zai iya karba Dollar 💵?,NEUTRAL,Code-mix
1.281152594891719e+18,,maryamsabubakar53@gmail.com,1.0,lallai coronavirus zata dawo kuwa🤔🤔,@bbchausa Lallai CORONAVIRUS zata dawo kuwa🤔🤔,NEUTRAL,Code-mix
1.2659579744864625e+18,,maryamsabubakar53@gmail.com,1.0,yen corona a kano sun tafi sallah break😂😂,@bbchausa Yen corona a kano sun tafi sallah break😂😂,NEUTRAL,Code-mix
1.3960791548361482e+18,,maryamsabubakar53@gmail.com,1.0,first time in history saudiya ta goyi bayan palestine 🤔,@bbchausa First time in history saudiya ta goyi bayan palestine 🤔,NEUTRAL,Code-mix
1.2572596832801915e+18,,maryamsabubakar53@gmail.com,1.0,meye karshen bana wai🤔 a fassaramin da ingilishi pls,@bbchausa Meye karshen bana wai...🤔 a fassaramin da ingilishi pls,NEUTRAL,Code-mix
